-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v1.3.1
  Build:         92534fa2ae799b502882c8684db13a25cde68155
  Repository:    https://github.com/kubernetes/ingress-nginx
  nginx version: nginx/1.19.10

-------------------------------------------------------------------------------

W1121 14:29:45.369256       7 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I1121 14:29:45.369923       7 main.go:209] "Creating API client" host="https://***HIDDEN***:443"
I1121 14:29:45.395182       7 main.go:253] "Running in Kubernetes cluster" major="1" minor="25" git="v1.25.12" state="clean" commit="ba490f01df1945d0567348b271c79a2aece7f623" platform="linux/amd64"
I1121 14:29:45.698377       7 main.go:104] "SSL fake certificate created" file="/etc/ingress-controller/ssl/default-fake-certificate.pem"
I1121 14:29:45.750613       7 ssl.go:533] "loading tls certificate" path="/usr/local/certificates/cert" key="/usr/local/certificates/key"
I1121 14:29:45.766240       7 nginx.go:260] "Starting NGINX Ingress controller"
I1121 14:29:45.826040       7 event.go:285] Event(v1.ObjectReference{Kind:"ConfigMap", Namespace:"knime", Name:"ingress-nginx-controller", UID:"f855ee6a-be79-42ec-a530-5cebe58322b6", APIVersion:"v1", ResourceVersion:"4143", FieldPath:""}): type: 'Normal' reason: 'CREATE' ConfigMap knime/ingress-nginx-controller
I1121 14:29:46.868493       7 store.go:430] "Found valid IngressClass" ingress="kurl/registry" ingressclass="knimehub"
I1121 14:29:46.868637       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"kurl", Name:"registry", UID:"19eb3be9-7566-42d3-9b33-19184a6b338c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"743562", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:29:46.869314       7 store.go:430] "Found valid IngressClass" ingress="hub/execution-webapp" ingressclass="knimehub"
I1121 14:29:46.869447       7 store.go:430] "Found valid IngressClass" ingress="istio-system/hub" ingressclass="knimehub"
I1121 14:29:46.869445       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"hub", Name:"execution-webapp", UID:"c83d26ba-2c57-4ac2-8134-8a56b1a4ace0", APIVersion:"networking.k8s.io/v1", ResourceVersion:"743566", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:29:46.869586       7 store.go:430] "Found valid IngressClass" ingress="knime/keycloak" ingressclass="knimehub"
I1121 14:29:46.869597       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"istio-system", Name:"hub", UID:"7fcd8acf-bbc9-4563-9268-482d09cc8ac8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"743563", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
